number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
0,1.0,2025-03-29 05:44:56.375807,2025-03-29 05:44:56.984256,0 days 00:00:00.608449,0.906206101838612,0.281584805908815,4,4,484,222,6.971823921267605,3.8938196184857943,5.273678560867927,0.7336677348293891,COMPLETE
1,1.0,2025-03-29 05:44:56.986475,2025-03-29 05:44:57.782033,0 days 00:00:00.795558,0.8894799313919884,0.21645756200308788,11,33,508,133,5.289424907216111,5.532034490318861,4.934226167879963,0.7740714010934105,COMPLETE
2,1.0,2025-03-29 05:44:57.789380,2025-03-29 05:44:58.660750,0 days 00:00:00.871370,0.9356057742508594,0.2957568074729145,11,9,782,102,2.3851146703413106,1.6134834567762701,8.084584362409801,0.8737781811517003,COMPLETE
3,1.0,2025-03-29 05:44:58.673306,2025-03-29 05:44:59.098008,0 days 00:00:00.424702,0.9980104590413605,0.21342004710261817,7,39,290,97,2.159260540228054,4.874663123923265,2.9940105565637696,0.7051758773131878,COMPLETE
4,1.0,2025-03-29 05:44:59.103903,2025-03-29 05:44:59.920732,0 days 00:00:00.816829,0.8182285427644617,0.16063499983780447,11,34,874,31,6.5239463522638985,6.172753063773785,9.418070132077315,0.7766742988111134,COMPLETE
5,1.0,2025-03-29 05:44:59.932309,2025-03-29 05:45:00.413076,0 days 00:00:00.480767,0.5720237694901031,0.14634784530476647,6,28,388,77,4.584357170940445,4.42171401744487,8.21769042938913,0.6356408948559225,COMPLETE
6,1.0,2025-03-29 05:45:00.423748,2025-03-29 05:45:01.481638,0 days 00:00:01.057890,0.7181693944858969,0.04472709427443505,6,45,505,140,3.979349329359093,9.46785324473686,4.9739405793353555,0.7322774750176425,COMPLETE
7,1.0,2025-03-29 05:45:01.490262,2025-03-29 05:45:02.238409,0 days 00:00:00.748147,0.9441530269219831,0.0508361689387038,5,2,514,206,5.216440514107995,6.068661938478542,4.583082719249777,0.995863269476331,COMPLETE
8,0.9999999999999999,2025-03-29 05:45:02.254417,2025-03-29 05:45:02.946718,0 days 00:00:00.692301,0.8674012025476596,0.12440502124648418,3,18,578,201,6.8466884741253375,8.636285013659128,3.792515466207323,0.9150588651771095,COMPLETE
9,1.0,2025-03-29 05:45:02.950384,2025-03-29 05:45:03.474156,0 days 00:00:00.523772,0.9460558718437801,0.1691090863543674,5,10,818,38,8.901322198304605,8.947683915055181,1.1993191555531044,0.8836966667084949,COMPLETE
10,1.0,2025-03-29 05:45:03.477593,2025-03-29 05:45:03.618851,0 days 00:00:00.141258,0.721091833413998,0.287980854206608,3,19,136,296,9.84341709142683,0.040673577129105354,6.759355372916406,0.5209297704227365,COMPLETE
11,1.0,2025-03-29 05:45:03.627167,2025-03-29 05:45:03.876156,0 days 00:00:00.248989,0.8230969929064302,0.23482649772974834,9,50,662,251,7.759893546064504,3.554606099067834,6.266818484899539,0.6191948207945215,COMPLETE
12,1.0,2025-03-29 05:45:03.878002,2025-03-29 05:45:04.118785,0 days 00:00:00.240783,0.6381407620775643,0.22740480076291564,9,30,343,164,5.823979638864043,2.9898751204901743,2.7069132673566543,0.7927910928584226,COMPLETE
13,1.0,2025-03-29 05:45:04.123647,2025-03-29 05:45:04.607375,0 days 00:00:00.483728,0.8648996887117985,0.249214834343511,12,20,669,210,0.609442183612078,7.0383755734402715,5.956616278739646,0.6594194217344279,COMPLETE
14,1.0,2025-03-29 05:45:04.615415,2025-03-29 05:45:05.070883,0 days 00:00:00.455468,0.7779868425735245,0.19422677914124403,9,38,973,156,7.59908254709657,2.473502030599104,7.288405502423979,0.7996361477268876,COMPLETE
15,1.0,2025-03-29 05:45:05.073777,2025-03-29 05:45:05.368739,0 days 00:00:00.294962,0.8865737627078574,0.26692502594475453,8,1,440,246,8.483135933762183,7.18088388368538,4.948003335024504,0.5693154050996498,COMPLETE
16,1.0,2025-03-29 05:45:05.378071,2025-03-29 05:45:05.704528,0 days 00:00:00.326457,0.9955557388176188,0.08723802718330498,4,24,165,286,3.708609592612414,4.168084335808749,3.9955849163948884,0.848817440885929,COMPLETE
17,1.0,2025-03-29 05:45:05.716468,2025-03-29 05:45:05.980316,0 days 00:00:00.263848,0.6541707256943416,0.1930315050381702,10,11,248,126,6.3956687537122265,5.7139771796741075,1.750877946747348,0.7176627006480131,COMPLETE
18,1.0,2025-03-29 05:45:05.990018,2025-03-29 05:45:06.316400,0 days 00:00:00.326382,0.5088766784278627,0.25685607633161806,12,35,623,181,3.049333183177846,1.833726902653876,5.576040725752842,0.6847302596576859,COMPLETE
19,1.0,2025-03-29 05:45:06.319515,2025-03-29 05:45:06.723960,0 days 00:00:00.404445,0.7941800122108079,0.273467993314822,7,43,441,237,5.383754458433761,7.863712394868793,3.136566525842296,0.8291575397893474,COMPLETE
20,1.0,2025-03-29 05:45:06.735301,2025-03-29 05:45:07.173977,0 days 00:00:00.438676,0.9042592159853293,0.2070188265721694,8,15,716,270,0.8111916110571604,0.2535592747642168,9.936427807887016,0.9330748598432046,COMPLETE
21,1.0,2025-03-29 05:45:07.176105,2025-03-29 05:45:07.667351,0 days 00:00:00.491246,0.9340031623433239,0.29915395278211426,11,7,800,111,2.627196496686749,1.4095247992725408,7.380163146782739,0.7528158946719969,COMPLETE
22,1.0,2025-03-29 05:45:07.677445,2025-03-29 05:45:08.087941,0 days 00:00:00.410496,0.8461217133771516,0.2934008824732195,11,6,545,70,1.8281355390320013,1.5487015818228436,8.010684057547913,0.8783695411676921,COMPLETE
23,1.0,2025-03-29 05:45:08.089547,2025-03-29 05:45:08.534245,0 days 00:00:00.444698,0.9492885986217656,0.2491321686182757,10,24,755,83,4.489497469304622,3.46735414728618,6.61414266893404,0.9624473914877548,COMPLETE
24,1.0,2025-03-29 05:45:08.539867,2025-03-29 05:45:09.010296,0 days 00:00:00.470429,0.9143857958923126,0.2726588083036437,10,12,980,130,3.598714009567768,5.4444675965520215,8.902616267710956,0.8306320696756535,COMPLETE
25,1.0,2025-03-29 05:45:09.016639,2025-03-29 05:45:09.628385,0 days 00:00:00.611746,0.9796932592293902,0.23058421078818891,12,8,460,58,1.4935155689214996,2.557260693535579,5.413042330795421,0.7523774411896131,COMPLETE
26,1.0,2025-03-29 05:45:09.632445,2025-03-29 05:45:10.060372,0 days 00:00:00.427927,0.7453302436846183,0.27813465224953016,4,3,589,176,0.06089486934410848,1.1069243184125468,4.0803164668481795,0.8623700555842081,COMPLETE
27,1.0,2025-03-29 05:45:10.068982,2025-03-29 05:45:10.450170,0 days 00:00:00.381188,0.895092016159408,0.17986088368296574,11,15,367,114,7.331528228191848,3.930046304039439,7.198499177401882,0.8131200381117074,COMPLETE
28,1.0,2025-03-29 05:45:10.480455,2025-03-29 05:45:10.999210,0 days 00:00:00.518755,0.8502344240847463,0.12890633809618643,10,30,910,146,5.903824737328657,4.949475613924978,8.135961292815006,0.9085610552034876,COMPLETE
29,1.0,2025-03-29 05:45:11.001186,2025-03-29 05:45:11.376444,0 days 00:00:00.375258,0.9859021201575964,0.22366714714452818,7,5,305,98,2.7789311529213068,4.822339363661188,3.066610782390744,0.7739364707376671,COMPLETE
30,1.0,2025-03-29 05:45:11.378962,2025-03-29 05:45:11.817723,0 days 00:00:00.438761,0.9685867263214236,0.20613295034881218,8,15,260,93,8.252125197652946,2.1826123085202616,5.5614927981444495,0.6950515910788837,COMPLETE
31,1.0,2025-03-29 05:45:11.821943,2025-03-29 05:45:12.392382,0 days 00:00:00.570439,0.9338396081052635,0.01182739940587238,6,40,193,25,2.3946531936432778,6.987399983431678,1.8799868706031306,0.7175394778028314,COMPLETE
32,1.0,2025-03-29 05:45:12.397478,2025-03-29 05:45:13.139671,0 days 00:00:00.742193,0.996164408972307,0.14833807972621718,5,32,407,56,4.70673701530721,6.456318146160875,9.020473836044806,0.6026955324692198,COMPLETE
33,1.0,2025-03-29 05:45:13.156331,2025-03-29 05:45:13.960221,0 days 00:00:00.803890,0.9076388299213789,0.24780844004322305,7,35,492,110,1.8755215902923328,4.582906735952952,4.761727867439113,0.6506408228536631,COMPLETE
34,1.0,2025-03-29 05:45:13.964057,2025-03-29 05:45:14.954795,0 days 00:00:00.990738,0.8028807581733022,0.20490498507663374,11,39,540,135,4.157045162086565,0.844423063644177,2.4339622808998405,0.6857303557150112,COMPLETE
35,1.0,2025-03-29 05:45:14.969062,2025-03-29 05:45:15.594394,0 days 00:00:00.625332,0.955871261143325,0.16422551205134855,4,26,311,184,6.850215268095933,5.6222789391236,3.479548573933326,0.7694152812175816,COMPLETE
36,1.0,2025-03-29 05:45:15.614004,2025-03-29 05:45:16.636904,0 days 00:00:01.022900,0.8354781059971401,0.12236897766142554,9,44,857,91,5.087634976036801,3.4005013277953573,4.449728999109428,0.7296351558458328,COMPLETE
37,1.0,2025-03-29 05:45:16.659151,2025-03-29 05:45:17.663431,0 days 00:00:01.004280,0.8736347007684345,0.2600334672534025,6,49,620,214,3.50766104255911,6.275107108542711,4.299114399519781,0.9861106780159286,COMPLETE
38,1.0,2025-03-29 05:45:17.666988,2025-03-29 05:45:18.416239,0 days 00:00:00.749251,0.9241943308554262,0.27822172340070683,6,37,707,45,6.279820650346891,5.170650947472545,5.1171576688480975,0.5935729543492112,COMPLETE
39,1.0,2025-03-29 05:45:18.421233,2025-03-29 05:45:18.919213,0 days 00:00:00.497980,0.9665645436428811,0.299625367778129,3,42,481,153,5.56227714368827,4.0524837750614795,5.960089998527243,0.7042300837758985,COMPLETE
40,1.0,2025-03-29 05:45:18.922947,2025-03-29 05:45:19.245270,0 days 00:00:00.322323,0.8675074287339564,0.23879112143819153,5,32,403,69,1.082728408619273,3.0347464560688833,3.756006068248118,0.664603451898625,COMPLETE
41,1.0,2025-03-29 05:45:19.248242,2025-03-29 05:45:19.896487,0 days 00:00:00.648245,0.8150446751048326,0.10313774159735842,11,34,899,31,6.774027521863332,7.89467024044413,9.276207366670796,0.787270606206659,COMPLETE
42,1.0,2025-03-29 05:45:19.909355,2025-03-29 05:45:20.460145,0 days 00:00:00.550790,0.7644676701369368,0.1798928951230691,12,29,790,120,9.103797472113664,6.677576569419242,9.896052402379704,0.7421132424330972,COMPLETE
43,1.0,2025-03-29 05:45:20.471416,2025-03-29 05:45:21.037156,0 days 00:00:00.565740,0.8886729195569705,0.21921327037416094,10,47,859,169,6.140072029643572,6.140278885208712,8.617324315567004,0.8190942008877687,COMPLETE
44,1.0,2025-03-29 05:45:21.039198,2025-03-29 05:45:21.738076,0 days 00:00:00.698878,0.9446876346163364,0.13817335424648053,9,21,680,230,7.307104148086385,9.919886723238005,9.47422902981326,0.7647484543765158,COMPLETE
45,1.0,2025-03-29 05:45:21.741525,2025-03-29 05:45:22.411985,0 days 00:00:00.670460,0.6899630654726077,0.07870078746534528,12,27,519,194,6.838225298125609,7.518531911836416,7.73133457311983,0.7919728454981346,COMPLETE
46,1.0,2025-03-29 05:45:22.420192,2025-03-29 05:45:22.724352,0 days 00:00:00.304160,0.8533829246916652,0.16336975822923153,3,3,103,46,8.129059060860552,4.454499317440029,6.170596081865151,0.9025488753537452,COMPLETE
47,1.0,2025-03-29 05:45:22.726552,2025-03-29 05:45:23.326718,0 days 00:00:00.600166,0.8845521244287022,0.18756652152090417,11,33,946,141,4.776342358994649,5.811307998892974,1.09484195384813,0.5267565522572623,COMPLETE
48,1.0,2025-03-29 05:45:23.331227,2025-03-29 05:45:23.789187,0 days 00:00:00.457960,0.5732870986968399,0.2820197768921665,10,37,752,102,4.291373851736415,5.214730742284953,6.937414712987215,0.7290689760523326,COMPLETE
49,1.0,2025-03-29 05:45:23.798049,2025-03-29 05:45:24.356015,0 days 00:00:00.557966,0.8170624576658646,0.2166793087081221,8,42,641,265,3.1150128100069203,8.66294036142305,8.509237286443836,0.8505406028590978,COMPLETE
